action,source,target,reason
move_dir,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/web_archives_v0_2,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/90_web_archives,web_archives_v0_2
move_dir,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/web_archives,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/duplicate_old_web_archives_v0_1,web_archives
exclude,"/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/ACSM Certified Personal Trainer Exam Study Guide ACSM 010-111 Version 5.0 FULLY UPDATED (PRECIOUS DUMPS [DUMPS, PRECIOUS]).pdf","/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/exam_dump_low_value_not_authoritative/ACSM Certified Personal Trainer Exam Study Guide ACSM 010-111 Version 5.0 FULLY UPDATED (PRECIOUS DUMPS [DUMPS, PRECIOUS]).pdf",exam_dump_low_value_not_authoritative
exclude,"/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/Molecular Exercise Physiology An Introduction (Henning Wackerhage, (ed.)).pdf","/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/too_basic_science_not_prescription_knowledge/Molecular Exercise Physiology An Introduction (Henning Wackerhage, (ed.)).pdf",too_basic_science_not_prescription_knowledge
exclude,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-030_baduanjin_group_standard_feedback_form.docx,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/feedback_form_no_rag_value/SRC-030_baduanjin_group_standard_feedback_form.docx,feedback_form_no_rag_value
exclude,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-024_pubmed_stable_angina_exercise_rehab.json,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/metadata_only_too_little_content/SRC-024_pubmed_stable_angina_exercise_rehab.json,metadata_only_too_little_content
exclude,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-024_pubmed_stable_angina_exercise_rehab.xml,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/metadata_only_too_little_content/SRC-024_pubmed_stable_angina_exercise_rehab.xml,metadata_only_too_little_content
exclude,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/_download_report.json,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/old_download_report_not_rag_content/_download_report.json,old_download_report_not_rag_content
exclude,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/_download_report.md,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data_excluded_not_for_rag/old_download_report_not_rag_content/_download_report.md,old_download_report_not_rag_content
keep,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/SRC-012_WHO_physical_activity_sedentary_behaviour.pdf,/Users/zhaosilei/Documents/Exercise Prescription Sys/rag_data/00_core_guidelines/WHO_2020_physical_activity_sedentary_behaviour_guidelines.pdf,mapped_useful
